Customer,Program,City,County,Region,Allocation (kW),Jobs Committed,Date
"Saint-Gobain Ceramics & Plastics, Inc.",Replacement Power,Niagara Falls,Niagara,Western New York,800,86,10/01/2023
"Saint-Gobain Ceramics & Plastics, Inc.",Replacement Power,Niagara Falls,Niagara,Western New York,2100,*,10/01/2023
"Saint-Gobain Ceramics & Plastics, Inc.",Replacement Power,Niagara Falls,Niagara,Western New York,100,*,10/01/2023
"Saint-Gobain Ceramics & Plastics, Inc.",Replacement Power,Niagara Falls,Niagara,Western New York,1005,*,10/01/2023
"Servotronics, Inc.",Expansion Power,Elma,Erie,Western New York,500,155,10/01/2023
"SGS Recovery, LLC",Expansion Power,Niagara Falls,Niagara,Western New York,750,33,10/01/2023
"Sonwil Distribution Center, Inc.",Replacement Power,West Seneca,Erie,Western New York,500,19,10/01/2023
"Sorrento Lactalis, Inc.",Replacement Power,Buffalo,Erie,Western New York,1500,*,10/01/2023
"Sorrento Lactalis, Inc.",Replacement Power,Buffalo,Erie,Western New York,250,500,10/01/2023
"Sotek Inc./Belrix Industries, Inc.",Replacement Power,Buffalo,Erie,Western New York,100,71,10/01/2023
"Sotek Inc./Belrix Industries, Inc.",Replacement Power,Buffalo,Erie,Western New York,410,*,10/01/2023
Special Metals Corporation,Expansion Power,Dunkirk,Chautauqua,Western New York,950,62,10/01/2023
Stavatti Aerospace Ltd,Expansion Power,Niagara Falls,Niagara,Western New York,2700,363,10/01/2023
Steuben Foods Incorporated,Expansion Power,Elma,Erie,Western New York,3000,*,10/01/2023
Steuben Foods Incorporated,Expansion Power,Elma,Erie,Western New York,5000,576,10/01/2023
Steuben Foods Incorporated,Expansion Power,Elma,Erie,Western New York,750,*,10/01/2023
"Stollberg, Inc.",Expansion Power,Niagara Falls,Niagara,Western New York,300,58,10/01/2023
"Stollberg, Inc.",Expansion Power,Niagara Falls,Niagara,Western New York,500,*,10/01/2023
Sucro Real Estate NY LLC,Expansion Power,Lackawanna,Erie,Western New York,5000,50,10/01/2023
"Sumitomo Rubber USA, LLC",Replacement Power,Tonawanda,Erie,Western New York,1500,*,10/01/2023
"Sumitomo Rubber USA, LLC",Expansion Power,Tonawanda,Erie,Western New York,6000,*,10/01/2023
"Sumitomo Rubber USA, LLC",Replacement Power,Tonawanda,Erie,Western New York,800,*,10/01/2023
"Sumitomo Rubber USA, LLC",Replacement Power,Tonawanda,Erie,Western New York,850,*,10/01/2023
"Sumitomo Rubber USA, LLC",Replacement Power,Tonawanda,Erie,Western New York,4191,*,10/01/2023
"Sumitomo Rubber USA, LLC",Replacement Power,Tonawanda,Erie,Western New York,250,*,10/01/2023
"Sumitomo Rubber USA, LLC",Expansion Power,Tonawanda,Erie,Western New York,2000,"1,327",10/01/2023
Surmet Ceramics Corporation,Expansion Power,Buffalo,Erie,Western New York,640,32,10/01/2023
"TAM Ceramics Group of NY, LLC",Expansion Power,Niagara Falls,Niagara,Western New York,450,*,10/01/2023
"TAM Ceramics Group of NY, LLC",Replacement Power,Niagara Falls,Niagara,Western New York,5650,71,10/01/2023
"TAM Ceramics Group of NY, LLC",Replacement Power,Niagara Falls,Niagara,Western New York,600,*,10/01/2023
Thermo Fisher Scientific Inc.,Replacement Power,Grand Island,Erie,Western New York,400,*,10/01/2023
